pgc,Nest,Dist,DM,eD,C,T,L,M,S,N,H,F,RAJ,DeJ,Glon,Glat,SGL,SGB,Ty,Asfd,Btot,Ks,Vhel,Vgsr,Vls,Vcmb,Vmod,Name,Icnt,2Mass,Ndgp,Dgp,DMgp,eDgp,NV,Lgp,Bgp,SGLgp,SGBgp,Tgp,S_B,S_K,Vhgp,Vggp,Vlsgp,Vcgp,Vmgp,Vrms,GroupName
72675,0,7.01,29.23,0.10,,T,,,,,,,235202.9,-523438.5,322.4635,-62.2404,242.3117,-3.2282,10,0.06,15.01,12.60,589,515,497,404,404,ESO149-003,356,0,1,7.01,29.23,0.10,1,322.4635,-62.2404,242.3117,-3.2282,10,14.95,12.59,589,515,497,404,404,0,"72675 ESO149-003"
72680,200465,55.21,33.71,0.20,,,,,,,H,,235211.1,+082341.3,98.8547,-51.6855,300.5360,17.2989,6,0.47,14.93,0.00,5564,5711,5767,5199,5271,UGC12818,0,0,1,55.21,33.71,0.20,1,98.8547,-51.6855,300.5360,17.2989,6,14.93,0.00,5564,5711,5767,5199,5271,0,
72684,200031,86.70,34.69,0.25,,,,,,,,F,235210.2,-290445.0,20.9835,-76.7944,264.1456,5.5222,6,0.07,14.84,10.51,8776,8792,8804,8481,8671,PGC072684,2941,3333,46,117.94,35.36,0.03,68,24.4980,-76.0976,264.6243,6.4965,-2,0.00,6.82,8851,8871,8885,8552,8745,761,Klemola44
72688,201567,139.32,35.72,0.20,,,,,,,H,,235216.2,-292651.7,19.3695,-76.7795,263.8091,5.3672,-2,0.07,15.24,11.50,9024,9038,9050,8730,8931,ESO471-030,2941,3333,46,117.94,35.36,0.03,68,24.4980,-76.0976,264.6243,6.4965,-2,0.00,6.82,8851,8871,8885,8552,8745,761,Klemola44
72694,200031,111.69,35.24,0.25,,,,,,,,F,235224.2,-290122.8,21.2101,-76.8498,264.2168,5.4953,3,0.07,15.36,10.97,8671,8687,8699,8376,8561,PGC072694,2941,3333,46,117.94,35.36,0.03,68,24.4980,-76.0976,264.6243,6.4965,-2,0.00,6.82,8851,8871,8885,8552,8745,761,Klemola44
72698,201106,147.91,35.85,0.20,,,,,,,H,,235227.3,-182525.9,62.5153,-73.8782,274.2153,9.2449,3,0.10,15.64,0.00,11226,11282,11308,10896,11208,ESO606-017,0,0,1,147.91,35.85,0.20,1,62.5153,-73.8782,274.2153,9.2449,3,15.64,0.00,11226,11282,11308,10896,11208,0,
72740,203044,288.40,37.30,0.20,,,,,,,H,,235313.4,+105340.9,100.6306,-49.4397,303.1467,17.6360,4,0.35,16.92,0.00,21462,21616,21674,21098,22255,UGC12825,0,0,1,288.40,37.30,0.20,1,100.6306,-49.4397,303.1467,17.6360,4,16.92,0.00,21462,21616,21674,21098,22255,0,
72751,200161,100.93,35.02,0.20,,,,,,,H,,235318.4,+274219.7,107.4958,-33.4178,320.6638,20.6463,3,0.18,15.62,11.68,7951,8144,8214,7609,7762,PGC072751,2937,4112,14,113.76,35.28,0.06,14,106.7468,-33.6147,320.2018,21.1432,3,0.00,8.89,8052,8245,8315,7709,7866,460,A2666
72759,210945,95.06,34.89,0.20,,,,,,,H,,235349.8,+105640.6,100.8720,-49.4437,303.2333,17.5024,2,0.36,15.80,11.02,5299,5452,5511,4935,4999,UGC12830,0,0,1,95.06,34.89,0.20,1,100.8720,-49.4437,303.2333,17.5024,2,15.80,11.02,5299,5452,5511,4935,4999,0,
72773,201340,92.90,34.84,0.20,,,,,,,H,,235329.4,+111903.2,100.9460,-49.0646,303.5944,17.6684,4,0.33,15.08,11.10,6383,6538,6596,6019,6115,UGC12832,0,0,1,92.90,34.84,0.20,1,100.9460,-49.0646,303.5944,17.6684,4,15.08,11.10,6383,6538,6596,6019,6115,0,
