pgc,Nest,Dist,DM,eD,C,T,L,M,S,N,H,F,RAJ,DeJ,Glon,Glat,SGL,SGB,Ty,Asfd,Btot,Ks,Vhel,Vgsr,Vls,Vcmb,Vmod,Name,Icnt,2Mass,Ndgp,Dgp,DMgp,eDgp,NV,Lgp,Bgp,SGLgp,SGBgp,Tgp,S_B,S_K,Vhgp,Vggp,Vlsgp,Vcgp,Vmgp,Vrms,GroupName
4,202766,50.58,33.52,0.20,,,,,,,H,,000003.5,+230515.5,107.8322,-38.2729,316.0587,18.4514,5,0.40,16.88,0.00,4458,4638,4706,4109,4154,AGC331060,0,0,1,50.58,33.52,0.20,1,107.8322,-38.2729,316.0587,18.4514,5,16.88,0.00,4458,4638,4706,4109,4154,0,
55,0,73.79,34.34,0.20,,,,,,,H,,000037.4,+333603.4,110.9496,-28.0856,327.0998,19.7763,6,0.22,17.04,0.00,4779,4979,5052,4454,4507,UGC12898,0,0,1,73.79,34.34,0.20,1,110.9496,-28.0856,327.0998,19.7763,6,17.04,0.00,4779,4979,5052,4454,4507,0,
70,209949,117.49,35.35,0.20,,,,,,,H,,000056.1,+202016.7,107.1780,-40.9837,313.2487,17.7662,6,0.34,15.61,11.26,6800,6974,7040,6447,6557,UGC12900,0,0,1,117.49,35.35,0.20,1,107.1780,-40.9837,313.2487,17.7662,6,15.61,11.26,6800,6974,7040,6447,6557,0,
76,209247,97.72,34.95,0.20,,,,,,,H,,000058.9,+285441.5,109.8059,-32.6707,322.1728,19.1316,3,0.21,14.82,11.01,6920,7112,7183,6583,6697,UGC12901,0,0,1,97.72,34.95,0.20,1,109.8059,-32.6707,322.1728,19.1316,3,14.82,11.01,6920,7112,7183,6583,6697,0,
124,0,81.66,34.56,0.20,,,,,,,H,,000136.7,+033020.1,99.5866,-57.0904,296.2413,13.7943,6,0.10,16.90,0.00,6350,6477,6529,5988,6083,UGC12913,0,0,1,81.66,34.56,0.20,1,99.5866,-57.0904,296.2413,13.7943,6,16.90,0.00,6350,6477,6529,5988,6083,0,
143,0,0.96,24.92,0.05,C,T,L,M,,,,,000158.2,-152739.3,75.8635,-73.6245,277.8077,8.0860,10,0.16,11.04,9.00,-108,-45,-14,-441,-441,WLM,222,0,39,0.76,24.40,0.01,41,125.4790,-26.4230,322.2989,9.4579,2,3.40,0.68,-213,-49,17,-485,-485,156,"2557    NGC0224"
145,0,134.28,35.64,0.20,,,,,,,H,,000157.2,-275957.9,25.5365,-79.0034,265.9224,3.8952,3,0.08,15.06,0.00,9723,9739,9753,9427,9661,ESO409-004,0,0,1,134.28,35.64,0.20,1,25.5365,-79.0034,265.9224,3.8952,3,15.06,0.00,9723,9739,9753,9427,9661,0,
165,200542,86.30,34.68,0.20,,,,,,,H,,000223.0,+271238.0,109.6981,-34.3974,320.4400,18.5834,4,0.21,15.77,0.00,7620,7808,7878,7280,7420,UGC12920,0,0,1,86.30,34.68,0.20,1,109.6981,-34.3974,320.4400,18.5834,4,15.77,0.00,7620,7808,7878,7280,7420,0,
176,201890,103.28,35.07,0.20,,,,,,,H,,000234.8,-034238.9,94.3256,-63.8349,289.2040,11.5576,4,0.17,14.49,10.98,6465,6568,6612,6109,6208,AGC400001,0,0,1,103.28,35.07,0.20,1,94.3256,-63.8349,289.2040,11.5576,4,14.49,10.98,6465,6568,6612,6109,6208,0,
179,211101,71.12,34.26,0.20,,,,,,,H,,000239.9,+084413.0,103.0012,-52.2368,301.5334,14.8675,3,0.28,15.69,11.48,5537,5680,5736,5175,5246,AGC100002,0,0,1,71.12,34.26,0.20,1,103.0012,-52.2368,301.5334,14.8675,3,15.69,11.48,5537,5680,5736,5175,5246,0,
186,208101,115.88,35.32,0.20,,,,,,,H,,000246.4,+185310.6,107.2408,-42.4978,311.8408,17.0661,1,0.15,14.82,10.91,7894,8063,8128,7539,7689,UGC00003,0,0,1,115.88,35.32,0.20,1,107.2408,-42.4978,311.8408,17.0661,1,14.82,10.91,7894,8063,8128,7539,7689,0,
201,202410,127.06,35.52,0.20,,,,,,,H,,000257.0,+041231.0,100.6048,-56.5458,297.0307,13.6568,4,0.12,15.52,11.71,8629,8758,8810,8267,8447,UGC00004,0,0,1,127.06,35.52,0.20,1,100.6048,-56.5458,297.0307,13.6568,4,15.52,11.71,8629,8758,8810,8267,8447,0,
205,207476,105.20,35.11,0.20,,,,,,,H,,000305.7,-015449.9,96.2231,-62.2521,290.9996,11.9504,4,0.17,14.17,10.42,7267,7376,7422,6910,7036,UGC00005,0,3703,1,105.20,35.11,0.20,3,96.9948,-62.1307,291.3296,11.7497,4,0.00,10.05,7218,7328,7374,6861,6985,45,UGC00005
212,205137,206.06,36.57,0.20,,,,,,,H,,000311.2,+155755.6,106.3213,-45.3440,308.8750,16.3795,2,0.19,14.94,10.65,11229,11391,11454,10871,11182,UGC00007,0,0,1,206.06,36.57,0.20,1,106.3213,-45.3440,308.8750,16.3795,2,14.94,10.65,11229,11391,11454,10871,11182,0,
218,211714,13.68,30.68,0.12,,,,,S,,H,,000314.9,+160844.0,106.4096,-45.1747,309.0615,16.4021,2,0.19,11.59,7.18,1051,1213,1276,694,695,NGC07814,1211,0,3,12.30,30.45,0.09,4,107.6898,-45.4946,309.1776,15.4437,8,11.08,7.13,911,1071,1133,555,556,96,"218   NGC07814"
226,200076,92.47,34.83,0.20,,,,,,,H,,000320.4,+083708.0,103.2027,-52.4005,301.4568,14.6765,5,0.32,15.36,11.26,11946,12088,12144,11584,11937,UGC00010,0,0,1,92.47,34.83,0.20,1,103.2027,-52.4005,301.4568,14.6765,5,15.36,11.26,11946,12088,12144,11584,11937,0,
250,208532,92.04,34.82,0.08,,,,,,N,H,,000335.0,+231202.9,108.8693,-38.3606,316.3211,17.6720,6,0.41,14.42,10.95,7265,7444,7512,6917,7043,UGC00014,0,0,1,92.04,34.82,0.08,1,108.8693,-38.3606,316.3211,17.6720,6,14.42,10.95,7265,7444,7512,6917,7043,0,
255,211714,20.32,31.54,0.20,,,,,,,H,,000343.2,+151305.4,106.2143,-46.0988,308.1421,16.0963,9,0.21,15.09,0.00,878,1038,1100,520,521,UGC00017,1211,0,3,12.30,30.45,0.09,4,107.6898,-45.4946,309.1776,15.4437,8,11.08,7.13,911,1071,1133,555,556,96,"218   NGC07814"
259,0,109.14,35.19,0.20,,,,,,,H,,000344.3,+161112.4,106.5852,-45.1656,309.1290,16.2962,4,0.20,15.67,0.00,6412,6574,6637,6055,6152,AGC100020,0,0,1,109.14,35.19,0.20,1,106.5852,-45.1656,309.1290,16.2962,4,15.67,0.00,6412,6574,6637,6055,6152,0,
265,200108,118.58,35.37,0.20,,,,,,,H,,000351.7,-504559.8,320.6851,-64.6904,244.6595,-4.2980,4,0.06,16.13,0.00,11900,11829,11813,11708,12068,PGC000265,0,0,1,118.58,35.37,0.20,1,320.6851,-64.6904,244.6595,-4.2980,4,16.13,0.00,11900,11829,11813,11708,12068,0,
279,202396,29.24,32.33,0.20,,,,,,,H,,000358.9,+204508.4,108.2279,-40.7610,313.8135,17.1421,4,0.25,12.82,8.40,2311,2484,2550,1959,1969,NGC007817,1178,0,2,34.83,32.71,0.14,3,104.9777,-40.1341,313.1889,19.6382,4,12.46,8.31,2303,2481,2547,1948,1958,100,"279  NGC007817"
280,207374,108.64,35.18,0.20,,,,,,,H,,000401.2,-512338.8,320.0161,-64.1325,244.0751,-4.5329,3,0.07,15.16,11.66,10499,10425,10408,10310,10590,ESO193-013,0,0,1,108.64,35.18,0.20,1,320.0161,-64.1325,244.0751,-4.5329,3,15.16,11.66,10499,10425,10408,10310,10590,0,
291,200108,155.60,35.96,0.20,,,,,,,H,,000414.0,-511324.7,320.1115,-64.3012,244.2473,-4.5068,-2,0.05,16.80,0.00,11133,11061,11044,10944,11259,PGC000291,0,0,1,155.60,35.96,0.20,1,320.1115,-64.3012,244.2473,-4.5068,-2,16.80,0.00,11133,11061,11044,10944,11259,0,
292,205875,167.49,36.12,0.20,,,,,,,H,,000415.1,-503845.7,320.6757,-64.8254,244.7938,-4.3154,3,0.06,14.82,11.49,11875,11804,11788,11682,12040,ESO193-014,0,0,1,167.49,36.12,0.20,1,320.6757,-64.8254,244.7938,-4.3154,3,14.82,11.49,11875,11804,11788,11682,12040,0,
296,201376,106.66,35.14,0.20,,,,,,,H,,000413.0,+104725.8,104.5586,-50.3890,303.6913,14.9857,3,0.37,15.17,10.86,7977,8124,8183,7616,7769,UGC00023,0,0,1,106.66,35.14,0.20,1,104.5586,-50.3890,303.6913,14.9857,3,15.17,10.86,7977,8124,8183,7616,7769,0,
298,0,48.08,33.41,0.20,,,,,,,H,,000414.7,+223517.3,108.8750,-38.9918,315.7166,17.4148,6,0.29,15.67,0.00,4452,4629,4697,4103,4148,UGC00024,0,0,1,48.08,33.41,0.20,1,108.8750,-38.9918,315.7166,17.4148,6,15.67,0.00,4452,4629,4697,4103,4148,0,
301,0,78.70,34.48,0.20,,,,,,,H,,000425.0,+061039.5,102.3572,-54.8049,299.0852,13.8113,6,0.30,17.59,0.00,5091,5225,5279,4730,4789,UGC00025,0,0,1,78.70,34.48,0.20,1,102.3572,-54.8049,299.0852,13.8113,6,17.59,0.00,5091,5225,5279,4730,4789,0,
303,200786,42.07,33.12,0.20,,,,,,,H,,000424.5,+312819.2,111.3151,-30.3366,324.9591,18.7347,3,0.24,14.27,11.16,4974,5169,5241,4645,4702,UGC00026,0,4366,1,42.07,33.12,0.20,4,110.8537,-30.3776,324.7767,19.0959,3,0.00,9.19,4872,5067,5139,4542,4597,105,
305,211271,44.46,33.24,0.20,,,,,,,H,,000428.8,+055050.0,102.2036,-55.1249,298.7596,13.7102,6,0.23,15.36,0.00,3121,3254,3308,2760,2780,UGC00027,0,0,1,44.46,33.24,0.20,1,102.2036,-55.1249,298.7596,13.7102,6,15.36,0.00,3121,3254,3308,2760,2780,0,
354,201263,105.68,35.12,0.20,,,,,,,H,,000506.3,+065512.2,103.0326,-54.1518,299.8695,13.8336,2,0.22,14.34,9.66,6154,6290,6345,5793,5882,UGC00034,0,0,1,105.68,35.12,0.20,1,103.0326,-54.1518,299.8695,13.8336,2,14.34,9.66,6154,6290,6345,5793,5882,0,
366,201263,94.62,34.88,0.20,,,,,,,H,,000513.9,+064618.9,103.0072,-54.3026,299.7301,13.7655,1,0.23,14.70,10.23,6301,6437,6491,5940,6033,UGC00036,0,0,1,94.62,34.88,0.20,1,103.0072,-54.3026,299.7301,13.7655,1,14.70,10.23,6301,6437,6491,5940,6033,0,
367,207240,100.46,35.01,0.20,,,,,,,H,,000516.7,-162837.0,75.4658,-74.9096,277.0959,7.0066,5,0.11,14.52,10.19,7426,7483,7512,7095,7228,NGC007821,0,0,1,100.46,35.01,0.20,1,75.4658,-74.9096,277.0959,7.0066,5,14.52,10.19,7426,7483,7512,7095,7228,0,
382,200108,162.93,36.06,0.20,,,,,,,H,,000529.0,-501613.1,320.6339,-65.2489,245.2147,-4.3745,5,0.05,14.32,10.78,10379,10309,10294,10185,10458,ESO193-019,0,3307,2,133.05,35.62,0.14,13,320.0708,-64.9721,244.9177,-4.5883,2,0.00,8.74,10350,10279,10263,10158,10430,268,ESO193-026
383,200108,143.88,35.79,0.20,,,,,,,H,,000529.3,-493713.0,321.3046,-65.8367,245.8296,-4.1587,3,0.07,14.80,11.40,10688,10621,10606,10490,10779,ESO193-018,0,3249,1,143.88,35.79,0.20,3,321.5581,-65.6016,245.6070,-4.0289,3,0.00,10.19,10999,10932,10917,10802,11109,288,
388,0,8.71,29.70,0.10,,T,,,,,,,000531.9,-280554.2,24.8340,-79.7884,266.0981,3.1192,5,0.07,15.13,14.44,737,750,764,442,443,ESO409-015,0,0,1,8.71,29.70,0.10,1,24.8340,-79.7884,266.0981,3.1192,5,15.13,14.44,737,750,764,442,443,0,
393,206241,142.56,35.77,0.20,,,,,,,H,,000534.3,+533752.8,116.0841,-8.6294,348.4276,19.8899,6,1.81,15.76,10.80,9523,9740,9817,9274,9501,UGC000039,0,0,1,142.56,35.77,0.20,1,116.0841,-8.6294,348.4276,19.8899,6,15.76,10.80,9523,9740,9817,9274,9501,0,
415,200542,103.75,35.08,0.08,,,,,,N,H,,000548.4,+272656.6,110.6599,-34.3326,320.8091,17.8681,4,0.30,15.11,10.98,7532,7719,7789,7193,7330,UGC00040,0,4109,2,101.39,35.03,0.07,3,110.5970,-34.2751,320.8447,17.9367,3,0.00,9.90,7590,7777,7847,7251,7390,88,UGC00040
431,210246,86.30,34.68,0.20,,,,,,,H,,000556.1,+222933.4,109.3352,-39.1748,315.6906,17.0142,6,0.31,16.34,0.00,6615,6791,6859,6267,6371,UGC00041,0,0,1,86.30,34.68,0.20,1,109.3352,-39.1748,315.6906,17.0142,6,16.34,0.00,6615,6791,6859,6267,6371,0,
507,208894,103.75,35.08,0.20,,,,,,,H,,000640.1,+260914.8,110.5529,-35.6387,319.4988,17.4743,2,0.15,15.04,11.06,7559,7743,7812,7218,7356,UGC00050,0,0,1,103.75,35.08,0.20,1,110.5529,-35.6387,319.4988,17.4743,2,15.04,11.06,7559,7743,7812,7218,7356,0,
511,201352,95.94,34.91,0.20,,,,,,,H,,000640.4,+050648.3,102.7122,-55.9909,298.1755,12.9963,4,0.12,15.27,11.22,5370,5500,5553,5010,5076,UGC00051,0,0,1,95.94,34.91,0.20,1,102.7122,-55.9909,298.1755,12.9963,4,15.27,11.22,5370,5500,5553,5010,5076,0,
515,210067,71.45,34.27,0.09,,,,,,N,,,000649.5,+083742.7,104.5597,-52.6445,301.6830,13.8439,5,0.46,14.84,10.58,5257,5397,5453,4897,4960,UGC00052,0,0,1,71.45,34.27,0.09,1,104.5597,-52.6445,301.6830,13.8439,5,14.84,10.58,5257,5397,5453,4897,4960,0,
517,0,108.14,35.17,0.20,,,,,,,H,,000650.3,+191918.8,108.6462,-42.3093,312.4827,16.2092,4,0.19,15.92,0.00,7896,8064,8129,7543,7693,UGC00053,0,0,1,108.14,35.17,0.20,1,108.6462,-42.3093,312.4827,16.2092,4,15.92,0.00,7896,8064,8129,7543,7693,0,
524,201352,77.62,34.45,0.20,,,,,,,H,,000647.7,+045612.1,102.6667,-56.1686,298.0084,12.9209,5,0.12,15.79,0.00,5307,5436,5489,4947,5012,AGC100040,0,0,1,77.62,34.45,0.20,1,102.6667,-56.1686,298.0084,12.9209,5,15.79,0.00,5307,5436,5489,4947,5012,0,
526,200108,109.14,35.19,0.20,,,,,,,H,,000652.7,-502454.1,320.0071,-65.2101,245.1515,-4.6324,-2,0.05,14.35,10.83,9701,9630,9614,9508,9746,ESO193-026,0,3307,2,133.05,35.62,0.14,13,320.0708,-64.9721,244.9177,-4.5883,2,0.00,8.74,10350,10279,10263,10158,10430,268,ESO193-026
548,0,83.56,34.61,0.20,,,,,,,H,,000701.6,+140623.1,106.9213,-47.3799,307.1963,15.0736,6,0.50,15.94,0.00,5451,5606,5667,5093,5162,UGC00056,0,0,1,83.56,34.61,0.20,1,106.9213,-47.3799,307.1963,15.0736,6,15.94,0.00,5451,5606,5667,5093,5162,0,
559,0,65.46,34.08,0.20,,,,,,,H,,000711.6,+134606.7,106.8523,-47.7171,306.8644,14.9591,5,0.53,16.30,0.00,5410,5564,5625,5052,5120,AGC100044,0,0,1,65.46,34.08,0.20,1,106.8523,-47.7171,306.8644,14.9591,5,16.30,0.00,5410,5564,5625,5052,5120,0,
564,209616,74.13,34.35,0.20,,,,,,,H,,000715.9,+274228.4,111.1073,-34.1474,321.1295,17.5888,3,0.28,13.69,9.83,4556,4742,4813,4218,4265,NGC0001,0,0,1,74.13,34.35,0.20,1,111.1073,-34.1474,321.1295,17.5888,3,13.69,9.83,4556,4742,4813,4218,4265,0,
567,200542,88.31,34.73,0.20,,,,,,,H,,000717.1,+274040.7,111.1054,-34.1774,321.0995,17.5797,2,0.28,14.95,11.24,7547,7733,7804,7209,7346,UGC00059,0,4109,2,101.39,35.03,0.07,3,110.5970,-34.2751,320.8447,17.9367,3,0.00,9.90,7590,7777,7847,7251,7390,88,UGC00040
569,200373,75.16,34.38,0.20,,,,,,,H,,000719.5,+323633.0,112.2786,-29.3485,326.2313,18.2665,3,0.20,13.69,10.29,5087,5282,5355,4761,4821,UGC00060,0,4367,5,70.79,34.25,0.09,6,112.8315,-28.9147,326.8239,17.9440,3,0.00,8.24,4880,5075,5148,4556,4611,114,
608,200373,80.91,34.54,0.20,,,,,,,H,,000801.6,+330414.8,112.5465,-28.9240,326.7332,18.1787,3,0.20,14.36,10.36,4895,5091,5164,4571,4626,NGC7836,0,4367,5,70.79,34.25,0.09,6,112.8315,-28.9147,326.8239,17.9440,3,0.00,8.24,4880,5075,5148,4556,4611,114,
617,209085,75.51,34.39,0.20,,,,,,,H,,000810.2,+270013.8,111.1714,-34.8779,320.4337,17.2794,3,0.23,14.77,11.65,8777,8961,9032,8438,8626,UGC00068,0,0,1,75.51,34.39,0.20,1,111.1714,-34.8779,320.4337,17.2794,3,14.77,11.65,8777,8961,9032,8438,8626,0,
619,209616,44.06,33.22,0.20,,,,,,,H,,000810.9,+273140.1,111.3037,-34.3650,320.9763,17.3600,6,0.23,14.83,0.00,4641,4827,4897,4303,4352,UGC00069,0,0,1,44.06,33.22,0.20,1,111.3037,-34.3650,320.9763,17.3600,6,14.83,0.00,4641,4827,4897,4303,4352,0,
621,0,3.21,27.53,0.10,,T,,,,,,,000813.5,-343443.4,351.4759,-78.1170,260.1830,0.4032,10,0.05,15.66,13.00,227,214,220,-40,-40,ESO349-031,233,0,9,3.61,27.79,0.03,9,110.1049,-81.3626,270.2023,-1.2171,7,7.48,3.75,207,218,235,-81,-81,85,"2789  AGC020535"
627,0,19.50,31.45,0.20,,,,,,,H,,000820.9,-295455.2,13.9863,-80.1375,264.5889,1.9312,5,0.06,14.34,0.00,1497,1502,1514,1210,1214,AGC020097,1096,0,3,19.14,31.41,0.12,5,278.9597,-83.3188,264.7308,-2.5405,5,10.99,6.90,1548,1538,1548,1274,1278,29,"1851  NGC000134"
634,205998,106.17,35.13,0.20,,,,,,,H,,000834.6,-335128.2,354.2104,-78.5856,260.8864,0.5750,4,0.05,13.27,9.47,6800,6790,6796,6529,6642,AGC020098,0,0,1,106.17,35.13,0.20,1,354.2104,-78.5856,260.8864,0.5750,4,13.27,9.47,6800,6790,6796,6529,6642,0,
641,200108,111.69,35.24,0.20,,,,,,,H,,000840.1,-503709.9,319.1907,-65.1372,245.0506,-4.9681,5,0.08,16.42,0.00,10029,9957,9941,9837,10092,ESO193-030,0,0,1,111.69,35.24,0.20,1,319.1907,-65.1372,245.0506,-4.9681,5,16.42,0.00,10029,9957,9941,9837,10092,0,
644,0,65.46,34.08,0.20,,,,,,,H,,000849.3,+243224.4,110.7228,-37.3191,317.9189,16.7246,4,0.28,16.68,0.00,4580,4759,4828,4237,4285,UGC00076,0,0,1,65.46,34.08,0.20,1,110.7228,-37.3191,317.9189,16.7246,4,16.68,0.00,4580,4759,4828,4237,4285,0,
647,212360,5.73,28.79,0.20,,,,,,,H,,000846.3,+154859.1,108.1251,-45.8249,309.0197,15.0358,10,0.34,13.02,10.87,865,1024,1086,509,510,UGC00075,1211,0,3,12.30,30.45,0.09,4,107.6898,-45.4946,309.1776,15.4437,8,11.08,7.13,911,1071,1133,555,556,96,"218   NGC07814"
650,200373,59.43,33.87,0.20,,,,,,,H,,000847.7,+332600.2,112.8048,-28.5984,327.1330,18.0651,3,0.19,14.08,10.06,4828,5024,5097,4505,4559,UGC00077,0,4367,5,70.79,34.25,0.09,6,112.8315,-28.9147,326.8239,17.9440,3,0.00,8.24,4880,5075,5148,4556,4611,114,
654,202837,67.61,34.15,0.20,,,,,,,H,,000904.4,+253706.0,111.0689,-36.2753,319.0390,16.8525,6,0.16,15.76,0.00,4345,4526,4596,4004,4046,UGC00079,0,0,1,67.61,34.15,0.20,1,111.0689,-36.2753,319.0390,16.8525,6,15.76,0.00,4345,4526,4596,4004,4046,0,
659,209361,105.68,35.12,0.20,,,,,,,H,,000903.4,-325451.3,358.1173,-79.1635,261.8105,0.7937,3,0.06,14.76,10.98,6827,6820,6828,6552,6665,ESO349-033,0,0,1,105.68,35.12,0.20,1,358.1173,-79.1635,261.8105,0.7937,3,14.76,10.98,6827,6820,6828,6552,6665,0,
690,207366,112.20,35.25,0.20,,,,,,,H,,000948.2,+274955.5,111.8022,-34.1380,321.3500,17.0536,3,0.25,14.70,10.85,8322,8507,8578,7986,8154,UGC00086,0,0,1,112.20,35.25,0.20,1,111.8022,-34.1380,321.3500,17.0536,3,14.70,10.85,8322,8507,8578,7986,8154,0,
695,0,34.83,32.71,0.20,,,,,,,H,,000952.7,-642217.8,310.2359,-52.1634,231.9115,-9.3611,5,0.09,14.77,0.00,1834,1715,1682,1720,1728,IC1532,1031,0,1,34.83,32.71,0.20,2,309.3629,-52.5517,232.3288,-9.8744,5,14.68,0.00,1799,1680,1647,1685,1693,50,"695     IC1532"
698,202837,53.70,33.65,0.20,,,,,,,H,,000953.4,+255525.7,111.3677,-36.0133,319.3855,16.7227,1,0.17,12.84,8.94,4568,4750,4819,4228,4275,NGC00023,0,0,1,53.70,33.65,0.20,1,111.3677,-36.0133,319.3855,16.7227,1,12.84,8.94,4568,4750,4819,4228,4275,0,
701,212365,7.67,29.42,0.09,,T,,,,,H,,000956.3,-245749.8,43.6913,-80.4348,269.3882,3.2257,5,0.08,12.08,9.21,554,577,595,250,250,AGC020114,355,0,3,6.39,29.03,0.06,3,66.9269,-81.9561,271.6669,0.9728,8,10.81,8.76,460,482,502,157,157,100,"930      NGC45"
725,202950,86.70,34.69,0.20,,,,,,,H,,001020.0,-462509.6,323.0672,-69.0689,249.1272,-3.8743,5,0.07,14.14,9.60,6006,5948,5938,5793,5882,ESO241-021,0,0,1,86.70,34.69,0.20,1,323.0672,-69.0689,249.1272,-3.8743,5,14.14,9.60,6006,5948,5938,5793,5882,0,
731,200264,145.21,35.81,0.20,,,,,,,H,,001026.4,+285916.0,112.2326,-33.0305,322.5670,17.0956,6,0.19,15.64,11.26,7059,7246,7318,6725,6844,UGC00095,0,0,1,145.21,35.81,0.20,1,112.2326,-33.0305,322.5670,17.0956,6,15.64,11.26,7059,7246,7318,6725,6844,0,
732,202837,68.55,34.18,0.20,,,,,,,H,,001025.9,+254954.7,111.4929,-36.1274,319.3123,16.5872,2,0.17,14.12,10.69,4592,4773,4843,4252,4300,NGC00026,0,0,1,68.55,34.18,0.20,1,111.4929,-36.1274,319.3123,16.5872,2,14.12,10.69,4592,4773,4843,4252,4300,0,
742,208141,100.46,35.01,0.20,,,,,,,H,,001032.7,+285946.7,112.2623,-33.0271,322.5792,17.0734,3,0.19,14.56,10.52,7851,8038,8109,7517,7666,NGC0027,0,0,1,100.46,35.01,0.20,1,112.2623,-33.0271,322.5792,17.0734,3,14.56,10.52,7851,8038,8109,7517,7666,0,
759,200373,63.39,34.01,0.20,,,,,,,H,,001040.9,+325859.2,113.1530,-29.1135,326.7175,17.6158,4,0.18,14.04,10.71,4797,4991,5064,4474,4527,UGC00098,0,4367,5,70.79,34.25,0.09,6,112.8315,-28.9147,326.8239,17.9440,3,0.00,8.24,4880,5075,5148,4556,4611,114,
767,200373,77.62,34.45,0.20,,,,,,,H,,001046.9,+332110.2,113.2524,-28.7536,327.1050,17.6437,4,0.17,13.37,10.55,4770,4965,5038,4448,4500,NGC00021,0,4367,5,70.79,34.25,0.09,6,112.8315,-28.9147,326.8239,17.9440,3,0.00,8.24,4880,5075,5148,4556,4611,114,
772,207197,156.31,35.97,0.20,,,,,,,H,,001057.0,+253335.7,111.5691,-36.4169,319.0537,16.4256,1,0.19,15.32,11.48,10256,10436,10506,9915,10174,UGC00101,0,0,1,156.31,35.97,0.20,1,111.5691,-36.4169,319.0537,16.4256,1,15.32,11.48,10256,10436,10506,9915,10174,0,
789,202114,112.72,35.26,0.20,,,,,,,H,,001112.6,-333443.1,353.8443,-79.1967,261.3311,0.1500,3,0.07,13.93,10.58,7854,7844,7851,7582,7734,ES349-038,0,3580,1,112.72,35.26,0.20,4,354.6314,-79.3156,261.5160,0.1936,3,0.00,9.89,7804,7795,7802,7532,7682,179,ES349-038
791,200264,84.72,34.64,0.20,,,,,,,H,,001114.2,+285423.1,112.4193,-33.1434,322.5109,16.9104,0,0.19,15.12,10.98,8046,8233,8305,7713,7870,UGC00105,0,0,1,84.72,34.64,0.20,1,112.4193,-33.1434,322.5109,16.9104,0,15.12,10.98,8046,8233,8305,7713,7870,0,
798,207495,69.82,34.22,0.20,,,,,,,H,,001122.3,+062321.2,105.3436,-55.1084,299.7462,12.1935,3,0.29,14.31,9.77,6039,6170,6224,5680,5765,UGC00106,0,0,1,69.82,34.22,0.20,1,105.3436,-55.1084,299.7462,12.1935,3,14.31,9.77,6039,6170,6224,5680,5765,0,
816,200264,141.25,35.75,0.20,,,,,,,H,,001145.1,+282956.1,112.4620,-33.5648,322.1089,16.7349,3,0.18,14.91,11.55,8043,8229,8300,7709,7866,UGC00108,0,0,1,141.25,35.75,0.20,1,112.4620,-33.5648,322.1089,16.7349,3,14.91,11.55,8043,8229,8300,7709,7866,0,
830,202837,54.95,33.70,0.20,,,,,,,H,,001201.3,+262335.0,112.0584,-35.6447,319.9527,16.3305,6,0.19,15.47,0.00,4512,4693,4763,4173,4219,UGC00110,0,0,1,54.95,33.70,0.20,1,112.0584,-35.6447,319.9527,16.3305,6,15.47,0.00,4512,4693,4763,4173,4219,0,
832,0,171.40,36.17,0.20,,,,,,,H,,001206.0,+245918.1,111.7503,-37.0277,318.5148,16.0700,4,0.18,15.88,0.00,10748,10926,10996,10407,10692,AGC100079,0,0,1,171.40,36.17,0.20,1,111.7503,-37.0277,318.5148,16.0700,4,15.88,0.00,10748,10926,10996,10407,10692,0,
833,0,65.16,34.07,0.20,,,,,,,H,,001208.9,+120244.7,107.9892,-49.6827,305.4191,13.3897,6,0.49,15.62,0.00,6352,6499,6558,5995,6090,UGC00111,0,0,1,65.16,34.07,0.20,1,107.9892,-49.6827,305.4191,13.3897,6,15.62,0.00,6352,6499,6558,5995,6090,0,
835,202010,113.24,35.27,0.20,,,,,,,H,,001209.4,+275435.6,112.4364,-34.1592,321.5177,16.5534,5,0.20,15.27,0.00,7400,7584,7655,7065,7197,AGC100080,0,0,1,113.24,35.27,0.20,1,112.4364,-34.1592,321.5177,16.5534,5,15.27,0.00,7400,7584,7655,7065,7197,0,
847,207925,130.62,35.58,0.20,,,,,,,H,,001215.7,+221918.7,111.1389,-39.6511,315.7974,15.5451,1,0.29,14.88,10.65,7647,7820,7887,7301,7442,UGC00113,0,0,1,130.62,35.58,0.20,1,111.1389,-39.6511,315.7974,15.5451,1,14.88,10.65,7647,7820,7887,7301,7442,0,
865,202784,87.90,34.72,0.20,,,,,,,H,,001248.0,+220123.9,111.2215,-39.9682,315.5179,15.3662,5,0.26,14.52,10.70,5954,6126,6193,5608,5691,NGC00041,2011,0,15,76.68,34.42,0.06,18,113.7549,-39.7828,316.4261,13.6197,1,0.00,7.51,5682,5850,5918,5340,5415,483,7S21
908,200037,124.74,35.48,0.20,,,,,,,H,,001344.8,+301142.2,113.3270,-31.9725,323.9282,16.5724,3,0.30,14.74,10.90,7135,7323,7395,6806,6928,AGC100090,2001,0,3,102.96,35.06,0.12,3,114.6470,-32.5587,323.7123,15.3306,3,0.00,10.06,7085,7269,7341,6756,6877,53,0016+2947A
930,212376,6.64,29.11,0.10,,T,,,,,,,001403.9,-231055.5,55.9027,-80.6717,271.3799,2.9060,8,0.09,11.40,10.07,466,494,514,158,158,NGC45,355,0,3,6.39,29.03,0.06,3,66.9269,-81.9561,271.6669,0.9728,8,10.81,8.76,460,482,502,157,157,100,"930      NGC45"
